200 4 1
647162
1490 6967 8426 6054 6666
8240 1378 3483 2938 6706
4700 9889 6467 8865 6110
246 1880 5965 8771 7394
2249 5443 769 7582 5950
6777 10000 9624 9438 6856
5577 1338 5535 7118 6456
73 6208 7781 1009 5781
7192 1342 8303 2833 7306
7438 6360 4799 1104 5415
3804 1913 3799 3180 6083
2397 5309 8143 2676 5507
9757 3833 1475 5168 6633
4642 1184 9757 1812 6725
4945 5046 3507 5628 5660
1307 8394 9510 2564 6979
895 9446 9348 9615 5644
639 850 5331 7633 7041
3366 4015 7148 8187 6644
9133 8769 1528 6496 6987
9603 1326 6267 9538 5697
9417 58 8517 2625 6548
9027 1747 5395 3222 6065
4061 1668 3249 9240 5530
1105 5190 2560 2577 6695
3716 3433 4857 4179 7486
80 5916 8576 3473 5939
3769 3364 3143 3745 6349
9516 6459 4519 3901 6982
5521 3572 979 6895 6534
8635 8830 6895 4297 7489
6877 2305 9046 3065 7035
2181 6144 9329 9104 7534
9594 1882 7924 4151 6730
4688 5824 308 4288 5675
1647 4810 6852 4601 6845
5282 461 6759 7620 5749
645 4427 3619 4707 5750
8062 8811 5677 4850 6217
6921 7522 1938 2478 7172
3614 5570 7516 3729 6755
3127 1166 3718 5240 7141
8255 8789 584 2780 7147
1441 5316 3567 7025 6336
1627 3258 9138 645 5394
6644 9498 3691 6205 7035
3259 2208 7682 623 7536
8226 6192 8281 3818 6440
4213 9001 5018 2987 5557
8840 7265 3623 2572 6116
6899 3795 2982 4774 5754
124 3379 7703 278 6526
909 6388 1438 8804 7027
9003 6962 5973 480 7105
7552 5075 3861 3215 6676
1668 9064 118 1323 5801
892 4738 795 2264 7177
8494 2419 8202 9816 7315
2085 7045 4242 5070 7538
9643 139 7891 992 6046
9618 6525 9705 505 6804
729 6904 9298 6738 7275
1989 4111 7509 4926 6374
1056 1320 6481 3753 6973
7478 3465 4236 1764 6691
984 9395 9428 685 6334
210 2286 7245 1412 6712
9784 99 1203 8414 7185
8428 7917 4382 2673 6784
7931 3081 275 832 6141
2534 3048 4226 9693 5400
4955 1122 48 6647 5882
7323 4911 9056 4057 6384
1001 7585 2626 8551 5386
4506 2785 3337 8124 7534
5698 2721 4328 2679 5534
9548 8637 7299 9864 5563
7397 4023 7513 3994 7390
9002 4365 7150 772 5403
5559 2658 2835 4426 7082
1330 8161 864 5823 6205
3671 1601 3488 9895 6865
480 8022 6095 5422 7127
8236 7898 2053 6762 5698
9218 3201 4726 4693 5866
4750 8019 1215 3692 5376
1634 8382 4967 4862 5732
8616 7176 5513 7846 6699
5555 9786 4421 9811 6798
3497 249 4350 8479 7520
8695 1221 9611 8865 6424
2237 844 7772 1092 6935
8748 5666 8669 8375 6398
1998 9435 1780 5871 6047
6523 9534 5653 712 7034
8137 6874 8760 6989 6748
909 8103 4775 4370 6604
6548 4425 167 9285 5811
4556 6805 6349 2219 6425
7504 6467 284 3336 7090
2152 2234 2087 1772 7097
4654 3847 9073 4298 6025
9166 4464 7310 6562 5844
5670 9184 8626 2322 6839
7949 1499 6205 7969 7204
4126 173 4562 1136 6684
1517 7789 1777 1474 6268
4957 2073 9445 9253 5735
1103 3314 5180 1549 6192
48 8172 2373 6599 5530
8789 2228 8066 3516 5865
